xx;mark;mark_1;mark_2;mark_3;name;ada;no_seri;merk;type;thn_pengadaan;thn_operasional;berfungsi;kalibrasi;harga;pendanaan;distributor;akl_akd;keterangan
;*;Pelayanan Medik dan Keperawatan;;;;;;;;;;;;;;;;
;**;;Pelayanan Rawat Jalan;;;;;;;;;;;;;;;
;***;;;Ruangan Klinik Sp. Penyakit Dalam;;;;;;;;;;;;;;
;102;;;10901006;"Timbangan dewasa; ";Ya;20711;digital;berdiri;2000;2000;Baik;Belum;6000000;APBD;global jaya medika;;
;102;;;11501050;X-Ray Film Viewer;Ya;0277000000518T0143;TESENA X-Ray Film Viewer;TSN 014-3;2018;2022;Baik;Belum;5000000;DAK;PT. TESENA INOVINDO;AKD 11501110279;
;102;;;11501050;X-Ray Film Viewer;Ya;0254000000917T0143;TESENA X-Ray Film Viewer;TSN 014-3;2018;2018;Baik;Belum;5000000;DAK;PT. TESENA INOVINDO;AKD 11501110279;
;102;;;1801051;Tensimeter;Ya;16401811;MPM ERKA;STAND VARIO;2018;2022;Baik;Belum;5500000;DAK;PT.SIAGA MEDIKA ABADI KARYA;;
;102;;;1801051;Tensimeter;Ya;17401493;MPM ERKA;STAND VARIO;2018;2018;Baik;Belum;5500000;DAK;PT.SIAGA MEDIKA ABADI KARYA;;
;102;;;10903172;Lemari Peralatan;Ya;207;MAK Instrument;32901;2018;2018;Baik;Belum;5688300;DAK;;;
;102;;;10903172;Lemari Peralatan;Ya;20711;MAK INSTRUMENT;32901;2018;2018;Baik;Belum;5688485;DAK;;;INSTRUMENT CABINET
;102;;;10903022;Examination Table;Ya;1,80334E+15;MAK Examination TABLE;34105;2018;2022;Baik;Belum;5784400;DAK;PT. MEGA ANDALAN KALASAN;AKD 19903900583;
;102;;;10903022;Examination Table;Ya;1,80334E+15;MAK Examination TABLE;34105;2018;2022;Baik;Belum;5784400;DAK;PT. MEGA ANDALAN KALASAN;AKD 19903900583;
;102;;;10903022;Examination Table;Ya;1,80334E+14;mak;34105;2018;2022;Baik;Belum;0;DAK;;;
;102;;;10903022;Examination Table;Ya;1,80434E+13;mak;34105;2018;2018;Baik;Belum;0;DAK;;;
;102;;;10903022;Examination Table;Ya;1,80334E+14;mak;34105;2018;2022;Baik;Belum;0;DAK;;;
;102;;;20501033;Stetoskop;Ya;5310005;MPM ERKA;DOUBLE MEMBRAN;2018;2022;Baik;Belum;1100000;DAK;;;
;102;;;10903141;Utility Trolley;Ya;1,80435E+15;MAK Instrument;35101;2018;2022;Baik;Belum;4859300;DAK;;;
;102;;;10903141;Utility Trolley;Ya;1,80435E+15;mak instrument;35101;2018;2022;Baik;Belum;4859300;DAK;;;
;102;;;20901011;Termometer digital;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
